time_s,fps,process_ms,nodes,objects,orphans,missions,trade_missions,ships,workers
115.2,60.0,21.03,1929,6064,2,0,0,3,15
116.2,60.0,20.12,1931,6072,2,0,0,3,15
117.2,60.0,21.38,1929,6064,2,0,0,3,15
118.2,60.0,20.54,1929,6064,2,0,0,3,15
119.2,60.0,18.67,1929,6064,2,0,0,3,15
120.2,60.0,21.57,1929,6064,2,0,0,3,15
121.2,59.0,34.00,1929,6064,2,0,0,3,15
122.2,60.0,19.02,1929,6064,2,0,0,3,15
123.2,60.0,18.50,1931,6072,2,0,0,3,15
124.2,60.0,19.51,1929,6064,2,0,0,3,15
125.2,60.0,20.39,1929,6064,2,0,0,3,15
126.2,60.0,18.90,1929,6064,2,0,0,3,15
127.2,60.0,18.76,1929,6064,2,0,0,3,15
128.2,60.0,19.58,1929,6064,2,0,0,3,15
129.2,60.0,19.53,1929,6064,2,0,0,3,15
130.2,60.0,18.78,1931,6072,2,0,0,3,15
131.2,60.0,18.20,1929,6064,2,0,0,3,15
132.2,60.0,19.89,1929,6064,2,0,0,3,15
133.2,60.0,19.65,1929,6064,2,0,0,3,15
134.2,60.0,18.91,1929,6064,2,0,0,3,15
135.2,60.0,20.34,1929,6064,2,0,0,3,15
136.2,60.0,21.70,1931,6070,0,0,0,3,15
137.2,60.0,19.24,1931,6070,2,0,0,3,15
138.2,59.0,36.17,1931,6070,0,0,0,3,15
139.2,60.0,19.80,1929,6064,2,0,0,3,15
140.2,60.0,20.06,1931,6070,0,0,0,3,15
141.2,60.0,18.61,1929,6064,2,0,0,3,15
142.2,60.0,20.97,1931,6070,0,0,0,3,15
143.2,60.0,21.14,1929,6064,2,0,0,3,15
144.2,60.0,21.16,1933,6076,0,0,0,3,15
145.2,60.0,21.27,1929,6064,2,0,0,3,15
146.2,60.0,18.92,1929,6064,2,0,0,3,15
147.2,60.0,18.27,1929,6064,2,0,0,3,15
148.2,60.0,21.05,1931,6070,0,0,0,3,15
149.2,60.0,19.41,1931,6072,2,0,0,3,15
150.2,60.0,18.75,1931,6070,0,0,0,3,15
151.2,60.0,19.19,1929,6064,2,0,0,3,15
152.2,60.0,19.25,1931,6070,0,0,0,3,15
153.2,60.0,20.06,1929,6064,2,0,0,3,15
154.2,60.0,20.69,1931,6070,0,0,0,3,15
155.2,60.0,20.28,1929,6064,2,0,0,3,15
156.2,60.0,20.32,1933,6078,0,0,0,3,15
157.2,60.0,20.76,1929,6064,2,0,0,3,15
158.2,60.0,18.32,1931,6070,0,0,0,3,15
159.2,60.0,21.66,1929,6064,2,0,0,3,15
160.2,60.0,20.65,1931,6070,0,0,0,3,15
161.2,60.0,18.67,1929,6064,2,0,0,3,15
162.2,60.0,19.85,1931,6070,0,0,0,3,15
163.2,60.0,18.79,1931,6072,2,0,0,3,15
164.2,60.0,18.70,1931,6070,0,0,0,3,15
165.2,60.0,19.96,1929,6064,2,0,0,3,15
166.2,60.0,21.27,1931,6070,0,0,0,3,15
167.2,60.0,19.60,1929,6064,2,0,0,3,15
168.2,60.0,19.05,1931,6070,0,0,0,3,15
169.2,60.0,21.05,1929,6064,2,0,0,3,15
170.2,60.0,18.48,1933,6078,0,0,0,3,15
171.2,60.0,19.37,1929,6064,2,0,0,3,15
172.2,60.0,20.75,1931,6070,0,0,0,3,15
173.2,60.0,19.08,1929,6064,2,0,0,3,15
174.2,60.0,19.87,1931,6070,0,0,0,3,15
175.2,60.0,20.78,1929,6064,2,0,0,3,15
176.2,60.0,19.54,1931,6070,0,0,0,3,15
177.2,60.0,19.79,1931,6072,2,0,0,3,15
178.2,60.0,18.92,1931,6070,0,0,0,3,15
179.2,60.0,17.92,1929,6064,2,0,0,3,15
180.2,60.0,20.37,1931,6070,0,0,0,3,15
181.2,60.0,20.50,1929,6064,2,0,0,3,15
182.2,60.0,20.61,1931,6070,0,0,0,3,15
183.2,60.0,21.97,1929,6064,2,0,0,3,15
184.2,60.0,19.14,1933,6078,0,0,0,3,15
185.2,60.0,18.97,1929,6064,2,0,0,3,15
186.2,60.0,20.29,1931,6068,0,0,0,3,15
187.2,60.0,19.49,1929,6064,2,0,0,3,15
188.2,60.0,19.38,1931,6068,0,0,0,3,15
189.2,60.0,20.33,1929,6064,2,0,0,3,15
190.2,60.0,19.50,1929,6064,2,0,0,3,15
191.2,60.0,20.85,1931,6070,2,0,0,3,15
192.2,60.0,20.58,1929,6064,2,0,0,3,15
193.2,60.0,19.80,1929,6064,2,0,0,3,15
194.2,59.0,27.81,1929,6064,2,0,0,3,15
195.2,60.0,23.61,1929,6064,2,0,0,3,15
196.2,60.0,19.89,1931,6072,2,0,0,3,15
197.2,60.0,19.75,1929,6064,2,0,0,3,15
198.2,60.0,19.06,1929,6064,2,0,0,3,15
199.2,60.0,20.85,1929,6064,2,0,0,3,15
200.2,60.0,19.21,1929,6064,2,0,0,3,15
201.2,60.0,24.42,1931,6072,2,0,0,3,15
202.2,60.0,19.56,1929,6064,2,0,0,3,15
203.2,60.0,19.84,1929,6064,2,0,0,3,15
204.2,60.0,19.88,1929,6064,2,0,0,3,15
205.2,60.0,20.26,1929,6064,2,0,0,3,15
206.2,60.0,19.99,1929,6064,2,0,0,3,15
207.2,60.0,19.09,1929,6064,2,0,0,3,15
208.2,60.0,20.80,1931,6072,2,0,0,3,15
209.2,60.0,20.20,1929,6064,2,0,0,3,15
210.2,60.0,23.92,1929,6064,2,0,0,3,15
211.2,60.0,19.07,1929,6064,2,0,0,3,15
212.2,60.0,20.68,1929,6064,2,0,0,3,15
213.2,60.0,18.59,1931,6072,2,0,0,3,15
214.2,60.0,18.71,1929,6064,2,0,0,3,15
215.2,60.0,22.28,1929,6064,2,0,0,3,15
216.2,60.0,19.78,1929,6064,2,0,0,3,15
217.2,60.0,19.10,1929,6064,2,0,0,3,15
218.2,60.0,25.34,1931,6072,2,0,0,3,15
219.2,60.0,19.21,1929,6064,2,0,0,3,15
220.2,60.0,21.26,1931,6071,2,0,0,3,15
221.2,60.0,21.00,1931,6071,2,0,0,3,15
222.2,60.0,20.11,1931,6071,2,0,0,3,15
223.2,60.0,19.77,1933,6079,2,0,0,3,15
224.2,60.0,18.87,1931,6071,2,0,0,3,15
225.2,60.0,19.17,1931,6071,2,0,0,3,15
226.2,60.0,18.55,1933,6079,2,0,0,3,15
227.2,60.0,19.04,1931,6071,2,0,0,3,15
228.2,60.0,18.18,1931,6071,2,0,0,3,15
229.2,60.0,18.50,1931,6071,2,0,0,3,15
230.2,60.0,19.16,1931,6071,2,0,0,3,15
231.2,60.0,18.45,1931,6071,2,0,0,3,15
232.2,60.0,18.78,1931,6071,2,0,0,3,15
233.2,60.0,19.34,1933,6079,2,0,0,3,15
234.2,60.0,18.59,1931,6071,2,0,0,3,15
